geneproductid,molecularfunctionid
GP00023580,MF00002667
GP00021056,MF00004697
GP00027704,MF00001747
GP00017938,MF00002269
GP00023030,MF00007160
GP00020386,MF00006785
GP00018864,MF00006677
GP00023110,MF00001708
GP00017505,MF00000881
GP00024002,MF00001975
GP00019554,MF00000836
GP00019433,MF00001891
GP00029672,MF00000408
GP00018366,MF00001706
GP00024918,MF00007362
GP00024410,MF00003574
GP00017013,MF00000132
GP00032499,MF00001891
GP00018159,MF00012209
GP00024180,MF00000446
GP00019510,MF00005601
GP00020430,MF00000607
GP00034489,MF00001891
GP00020057,MF00001891
GP00019650,MF00002051
GP00026254,MF00001891
GP00016927,MF00001891
GP00019674,MF00005394
GP00025643,MF00001891
GP00028652,MF00000905
GP00021098,MF00001891
GP00033003,MF00001891
GP00017703,MF00007362
GP00022930,MF00004637
GP00017716,MF00001343
GP00022335,MF00004639
GP00024911,MF00001940
GP00027918,MF00000130
GP00021133,MF00000273
GP00023257,MF00006809
GP00026065,MF00006355
GP00031488,MF00001618
GP00027162,MF00007160
GP00019809,MF00001889
GP00020658,MF00007362
GP00017581,MF00001891
GP00025676,MF00004639
GP00023956,MF00000129
GP00019049,MF00004885
GP00020866,MF00001971
GP00022663,MF00000842
GP00017255,MF00001968
GP00027689,MF00000372
GP00027771,MF00001889
GP00020036,MF00002023
GP00025297,MF00001891
GP00018264,MF00005118
GP00029739,MF00001345
GP00017668,MF00001891
GP00023269,MF00001165
GP00017283,MF00009137
GP00019443,MF00000408
GP00017573,MF00000428
GP00031924,MF00002113
GP00023422,MF00000407
GP00017978,MF00000438
GP00018289,MF00004639
GP00024207,MF00000412
GP00030905,MF00001891
GP00025782,MF00002865
GP00032860,MF00007821
GP00020359,MF00000446
GP00027434,MF00009219
GP00025586,MF00001900
GP00027379,MF00000142
GP00028849,MF00000446
GP00017145,MF00000035
GP00029534,MF00007362
GP00029773,MF00001528
GP00027714,MF00000636
GP00025698,MF00006725
GP00020860,MF00004642
GP00017749,MF00004639
GP00029687,MF00001891
